pid,catalog_key
uva-lib:602113,u1938996
uva-lib:617009,u2357382
uva-lib:611405,u2306461
uva-lib:611515,u2251010
uva-lib:612978,u2274954
uva-lib:613733,u2264032
uva-lib:614130,u2306460
uva-lib:614209,u2357381
uva-lib:616392,u2032434
uva-lib:653195,u2083168
uva-lib:1002813,u4391170
uva-lib:1002816,u2224840
uva-lib:626791,u2244126
uva-lib:1002819,u2245726
uva-lib:1002820,u2341170
uva-lib:1002821,u2360389
uva-lib:1002822,u2306452
uva-lib:1002826,u2353769
uva-lib:1002827,u2275274
uva-lib:770707,u2341179
uva-lib:770705,u2302065
uva-lib:770706,u2302073
uva-lib:770709,u2359918
uva-lib:770710,u2360490
uva-lib:770704,u2360654
uva-lib:1002864,u4672544
uva-lib:770571,u2263894
uva-lib:770573,u2263522
uva-lib:770574,u2261013
uva-lib:610691,u2032396
uva-lib:1002916,u2353541
uva-lib:1002917,u2307419
uva-lib:1002926,u3550034
uva-lib:627104,u3834700
uva-lib:770587,u2360398
uva-lib:770585,u2360414
uva-lib:770584,u2360420
uva-lib:770580,u2360474
uva-lib:1002939,u3693860
uva-lib:1002967,u829634
uva-lib:1002971,u2353773
uva-lib:1002974,u2271849
uva-lib:1002975,u2251015
uva-lib:1002976,u2253036
uva-lib:1002981,u2032219
uva-lib:1002982,u2032259
uva-lib:1002983,u2032181
uva-lib:1002985,u2032317
uva-lib:610693,u2036416
uva-lib:842022,u2032352
uva-lib:606291,u2032356
uva-lib:606293,u2032370
uva-lib:610695,u2032373
uva-lib:627122,u2032401
uva-lib:610694,u2036571
uva-lib:1002986,u2032427
uva-lib:610702,u2032419
uva-lib:610701,u2036387
uva-lib:1002988,u1346896
uva-lib:1002995,u211938
tsb:1357,u2030901
uva-lib:1003000,u2963626
uva-lib:1003006,u2262173
uva-lib:1003031,u2664152
uva-lib:1003053,u2050329
uva-lib:627124,u2921462
uva-lib:627118,u2092196
uva-lib:627119,u2895312
uva-lib:1003082,u2031763
uva-lib:1003096,u1982751
uva-lib:1003146,u2031691
uva-lib:1003147,u4004690
uva-lib:1003148,u2036498
uva-lib:1003153,u1373066
uva-lib:1003165,u824437
uva-lib:1003167,u824420
uva-lib:727477,u825970
uva-lib:1003171,u825237
uva-lib:1003178,u2268609
uva-lib:1003179,u2037456
uva-lib:616439,u2003577
uva-lib:1003181,u4349410
uva-lib:1003207,u823822
uva-lib:1003218,u833887
tsb:1642,u3505012
uva-lib:602598,u152207
uva-lib:727397,u828609
uva-lib:727399,u829241
uva-lib:677609,u2955534
uva-lib:770508,u3502079
uva-lib:770519,u4850703
uva-lib:770628,u2036643
uva-lib:770648,u2404603
uva-lib:770646,u2085971
uva-lib:770590,u3554772
tsb:2013,u2048183
uva-lib:1003265,u4506990
uva-lib:1003266,u4341523
uva-lib:830004,u2442709
uva-lib:1003267,u2828867
uva-lib:1003278,u4706225
uva-lib:1003279,u4711027
uva-lib:1003281,u4718946
uva-lib:1003282,u4719133
uva-lib:1003283,u4721243
uva-lib:1003289,u4735827
uva-lib:1003290,u4735825
uva-lib:1003291,u4735828
uva-lib:1003300,u4742336
uva-lib:1003301,u4735831
uva-lib:1003302,u4735833
uva-lib:1003303,u4735848
uva-lib:1003304,u4735849
uva-lib:1003306,u4735832
uva-lib:1003311,u4726619
uva-lib:1003320,u4609251
uva-lib:1003323,u4742335
uva-lib:1003325,u4743510
uva-lib:1003326,u4743515
uva-lib:1003327,u4743507
uva-lib:1003328,u4743732
uva-lib:1003332,u4743500
uva-lib:1003334,u4705645
uva-lib:1003335,u4705646
uva-lib:1003337,u4742334
uva-lib:1003338,u4742214
uva-lib:1003339,u4742212
uva-lib:1003340,u4742173
uva-lib:1003342,u4742077
uva-lib:1003344,u4726554
uva-lib:1003345,u4726616
uva-lib:1003346,u4735826
uva-lib:1003347,u4735829
uva-lib:1003348,u4743733
uva-lib:1003349,u4743735
uva-lib:1003350,u4743734
uva-lib:1003352,u4743736
uva-lib:1003353,u4722262
uva-lib:1003365,u4745168
uva-lib:1003368,u4745163
uva-lib:1003369,u4510963
uva-lib:1003372,u4595345
uva-lib:1003374,u4354994
uva-lib:1003377,u3880655
uva-lib:1003381,u4745167
uva-lib:1003384,u4595328
uva-lib:1003385,u4510961
uva-lib:1003387,u1754201
uva-lib:1003392,u4716614
uva-lib:1003393,u4716640
uva-lib:1003397,u4744948
uva-lib:1003398,u4745169
uva-lib:1003410,u4706230
uva-lib:1003411,u4716681
uva-lib:1003413,u4744946
uva-lib:1003415,u3580013
uva-lib:1003423,u4220740
uva-lib:1003427,u4747674
uva-lib:1003428,u4746886
uva-lib:1003429,u4747887
uva-lib:1003435,u3976045
uva-lib:1003436,u4695768
uva-lib:1003442,u4709200
uva-lib:1003447,u4709199
uva-lib:1003448,u4695760
uva-lib:1003449,u4751064
uva-lib:1003450,u4751068
uva-lib:1003451,u4751071
uva-lib:1003452,u4751072
uva-lib:1003453,u4751070
uva-lib:1003454,u4751067
uva-lib:1003459,u4686323
uva-lib:1003460,u4509286
uva-lib:1003470,u4752256
uva-lib:1003471,u4752255
uva-lib:1003472,u4752254
uva-lib:1003478,u4752252
uva-lib:1003482,u4746888
uva-lib:1003484,u4751065
uva-lib:1003488,u4753471
uva-lib:1003489,u4753554
uva-lib:1003490,u4753550
uva-lib:1003491,u4753499
uva-lib:1003492,u4753472
uva-lib:1003493,u4753481
uva-lib:1003494,u4753415
uva-lib:1003495,u4753470
uva-lib:1003496,u4470081
uva-lib:1003497,u4751066
uva-lib:1003499,u4751080
uva-lib:1003500,u4748587
uva-lib:1003501,u4753392
uva-lib:1003502,u4753469
uva-lib:1003506,u4754800
uva-lib:1003507,u4754970
uva-lib:1003509,u4756281
uva-lib:1003511,u4756319
uva-lib:1003514,u4755161
uva-lib:1003516,u4755162
uva-lib:1003517,u4755160
uva-lib:1003519,u4754971
uva-lib:1003524,u1793578
uva-lib:1003525,u4594103
uva-lib:1003526,u4594101
uva-lib:1003527,u4512336
uva-lib:1003530,u4753345
uva-lib:1003531,u4753385
uva-lib:1003532,u4753385
uva-lib:1003538,u4357324
uva-lib:1003539,u4357352
uva-lib:1003542,u4760248
uva-lib:1003544,u4760261
uva-lib:1003546,u4512338
uva-lib:1003548,u4512334
uva-lib:1003551,u4508700
uva-lib:1003552,u4509289
uva-lib:1003554,u4760045
uva-lib:1003556,u4765713
uva-lib:1003558,u4773997
uva-lib:1003559,u4773977
uva-lib:1003560,u4773860
uva-lib:1003561,u4773492
uva-lib:1003562,u4773812
uva-lib:1003563,u4773869
uva-lib:1003564,u4773896
uva-lib:1003566,u4773963
uva-lib:1003567,u4765712
uva-lib:1003572,u4721186
uva-lib:1003573,u4721191
uva-lib:1003576,u4718959
uva-lib:1003578,u4718003
uva-lib:1003582,u3873974
uva-lib:1003583,u4776278
uva-lib:1003584,u4776273
uva-lib:1003587,u4757727
uva-lib:1003589,u4755167
uva-lib:1003590,u4754998
uva-lib:1003594,u4752250
uva-lib:1003595,u4751079
uva-lib:1003596,u4751076
uva-lib:1003599,u4765714
uva-lib:1003603,u4691162
uva-lib:1003608,u4757720
uva-lib:1003619,u4753397
uva-lib:1003621,u4753424
uva-lib:1003622,u4776269
uva-lib:1003623,u4776272
uva-lib:1003625,u4757723
uva-lib:1003629,u4779589
uva-lib:1003631,u4776270
uva-lib:1003633,u4776268
uva-lib:1003634,u4776188
uva-lib:1003640,u4780198
uva-lib:1003647,u2002130
uva-lib:1003673,u4506991
uva-lib:1003678,u4506989
uva-lib:1003684,u4475421
uva-lib:1003685,u4594119
uva-lib:1003693,u3545105
uva-lib:1003699,u4509281
uva-lib:1003701,u4595352
uva-lib:1003703,u4342336
uva-lib:1003723,u4506390
uva-lib:770589,u3544938
uva-lib:1003726,u2959145
uva-lib:710281,u2716440
uva-lib:1003727,u2123213
tsb:2500,u1790906
uva-lib:1003733,u3545115
tsb:3002,u2091463
tsb:3009,u3795347
tsb:3109,u2884151
uva-lib:1003785,u2915700
uva-lib:770664,u2622424
uva-lib:831516,u4775658
uva-lib:770557,u3928018
tsb:6091,u2328978
uva-lib:616716,u2037111
uva-lib:616726,u2339493
uva-lib:616733,u4454970
uva-lib:616734,u2437570
uva-lib:616741,u4466673
uva-lib:616751,u218121
uva-lib:616763,u4470080
uva-lib:616764,u4470081
uva-lib:616765,u4470083
uva-lib:616766,u4470084
uva-lib:616770,u3545097
uva-lib:616800,u4471567
uva-lib:616816,u4472942
uva-lib:616831,u4472941
uva-lib:616835,u4472940
uva-lib:616838,u4311183
uva-lib:616840,u4454718
uva-lib:616841,u4454735
uva-lib:616842,u4454736
uva-lib:616849,u4456042
uva-lib:616850,u4456668
uva-lib:616863,u4465014
uva-lib:616865,u4465017
uva-lib:616866,u4465015
uva-lib:616917,u2037111
uva-lib:616918,u3819118
uva-lib:616919,u3726296
uva-lib:616920,u3545963
