ID,Sirsi Value,Preferred Label,URI
0f4c7118-b241-310b-98e0-3ff966eddc1f,Atlases,Atlases,http://id.loc.gov/authorities/subjects/sh85009231
64da4183-4d4b-3ffe-a855-4a8c414ddef9,Multiracial people,Multiracial people,http://id.loc.gov/authorities/subjects/sh91005403
75317931-c21f-308a-8657-fc2862cc7d92,Fiction,Fiction,http://id.loc.gov/authorities/subjects/sh99001562
94d5df61-4253-326f-9dc2-77cafa4d820b,African American men,African American men,http://id.loc.gov/authorities/subjects/sh85001865
447af0a9-6d52-3a39-8e70-ee3e8c1b42da,Black nationalism,Black nationalism,http://id.loc.gov/authorities/subjects/sh85014592
f324fd17-c211-3c1a-99fc-a0e80ba5494d,Radicals,Radicals,http://id.loc.gov/authorities/subjects/sh85110377
7361e5a1-ead4-3f7f-8d4d-e3eb6f1eb025,Racism,Racism,http://id.loc.gov/authorities/subjects/sh85110266
5cf18c5d-567b-3acd-b0a9-6e71ed52b46d,Natural history,Natural history,http://id.loc.gov/authorities/subjects/sh85090222
96e3a1d7-11ae-3c45-8bf3-04fcc7fd6b9c,Architecture,Architecture,http://id.loc.gov/authorities/subjects/sh85006611
ccb33f61-4213-314f-9bca-315f6ebf4cf5,Early works to 1800,Early works to 1800,http://id.loc.gov/authorities/subjects/sh99001366
b616072e-ffc9-3271-b52d-b06fa7f703fd,Building,Building,http://id.loc.gov/authorities/subjects/sh85017693
431a60a3-2b51-3c15-8b8c-0b2ebe4b596d,Health resorts,Health resorts,http://id.loc.gov/authorities/subjects/sh85059593
6a024e77-67e6-3c7a-99a5-66f69719036d,Virginia,Virginia,http://id.loc.gov/authorities/names/n79022909
eec524d4-c772-3c22-a8be-b1decf22a3ce,Rockbridge County,Rockbridge County (Va.),http://id.loc.gov/authorities/names/n81133699
f791f2f9-4f7c-3aff-babe-cf4db382862a,Mineral waters,Mineral waters,http://id.loc.gov/authorities/subjects/sh85085578
9cfcda64-afbe-3260-a166-d2b371e3d053,"Bacon's Rebellion, 1676","Bacon's Rebellion, 1676",http://id.loc.gov/authorities/subjects/sh85010811
4b834835-f3f4-3d5b-b9c6-67d0d1f18312,Prohibition,Prohibition,http://id.loc.gov/authorities/subjects/sh85107330
859778e3-5013-35c5-902c-4c44118950c3,Agriculture,Agriculture,http://id.loc.gov/authorities/subjects/sh85002415
dcf16584-d4bc-3f2f-90a4-8f98dfb46126,Albemarle County,Albemarle County (Va.),http://id.loc.gov/authorities/names/n80026695
ccfaca20-a988-3cb3-a008-98c66e9b0198,Flute and violin music,Flute and violin music,http://id.loc.gov/authorities/subjects/sh85049513
9dd8fc58-4755-3ad5-b310-82e34ce8f04b,Trio sonatas,Trio sonatas,http://id.loc.gov/authorities/subjects/sh85137567
2c54bc71-f3e9-360b-a551-b44d76f9fb67,Parts,Parts,http://id.loc.gov/authorities/subjects/sh99001708
d30c3612-257f-3704-9251-1e2d31b35213,"Quartets (Harpsichord, violins (2), cello)","Quartets (Harpsichord, violins (2), cello)",http://id.loc.gov/authorities/subjects/sh85109599
9365e8d1-5ab9-3410-adc0-ead2f55c8a5c,"Quartets (Harpsichord, flutes (2), cello)","Quartets (Harpsichord, flutes (2), cello)",http://id.loc.gov/authorities/subjects/sh85109580
29e1c634-7ab2-3408-b046-6a7773d98e28,Temperance,Temperance,http://id.loc.gov/authorities/subjects/sh85133698
f346a53c-4df5-3d2a-be89-773ee0253f63,"Trios (Flutes (2), cello)","Trios (Flutes (2), cello)",http://id.loc.gov/authorities/subjects/sh85137650
955bb549-fcfd-3163-b162-383abb4d5fb0,Virginia,Virginia,http://id.loc.gov/authorities/names/n79022909
ed4475aa-74ae-37b7-b22d-f533f2de20df,Menus,Menus,http://id.loc.gov/authorities/subjects/sh85083733
58da79b9-30ef-315e-b89e-fa68807feb49,Natural theology,Natural theology,http://id.loc.gov/authorities/subjects/sh85090266
a6f80ba3-67f6-349d-909a-09aa61f88114,Gallicanism,Gallicanism,http://id.loc.gov/authorities/subjects/sh85052840
0059a9b7-fa7d-3931-9048-adda6a3e7096,Councils and synods,Councils and synods,http://id.loc.gov/authorities/subjects/sh85033409
fce16fe8-5fc0-38db-9ac5-1de9490c01e9,Schism,Schism,http://id.loc.gov/authorities/subjects/sh85118129
4fee17dc-d922-361a-bbb0-d67513568517,Tales,Tales,http://id.loc.gov/authorities/subjects/sh85132085
895aea65-8e8b-3200-bd04-10be5e0c2f39,France,France,http://id.loc.gov/authorities/names/n79006404
b302c0d0-5dc4-366f-899a-ae46cb025c03,"Architecture, Classical","Architecture, Classical",http://id.loc.gov/authorities/subjects/sh85006718
8ca3c6d4-447a-3e15-bc4a-2cf92d6ac1cb,Christianity,Christianity,http://id.loc.gov/authorities/subjects/sh85025219
4f4dc767-48f7-328e-b497-76a14158ad9e,Protestantism,Protestantism,http://id.loc.gov/authorities/subjects/sh85107718
76859032-99ff-36d6-93ce-4d8b8245f14f,Reformation,Reformation,http://id.loc.gov/authorities/subjects/sh85112228
1e9ac7ad-1cd9-3e44-bf78-b080926c1116,Lord's Supper,Lord's Supper,http://id.loc.gov/authorities/subjects/sh85078354
f9ba3933-860f-388b-855f-6cbaf665e198,Typology (Theology),Typology (Theology),http://id.loc.gov/authorities/subjects/sh85139176
74569002-250b-3ab3-8c55-45061445d436,French poetry,French poetry,http://id.loc.gov/authorities/subjects/sh85051892
5a9fe244-147d-3599-911c-1f276e655e84,Classification,Classification,http://id.loc.gov/authorities/subjects/sh85026719
415285ba-f222-3511-92ad-e55ce29fbce0,Arts,Arts,http://id.loc.gov/authorities/subjects/sh85008324
e90c4953-7fac-315e-8b1d-e5dd7321aed0,Spiritual life,Spiritual life,http://id.loc.gov/authorities/subjects/sh85126758
de698167-6a46-3816-b662-fc0efe0d3afd,Coronations,Coronations,http://id.loc.gov/authorities/subjects/sh85032877
96b814d7-ba78-361a-b95b-0e345493c41d,"Mysteries and miracle-plays, French","Mysteries and miracle-plays, French",http://id.loc.gov/authorities/subjects/sh85089335
