ID,Sirsi Value,Preferred Label,URI
5a66e885-073e-3572-b9ce-19c466fe188e,illus,illustrator,http://id.loc.gov/vocabulary/relators/ill
b426d911-f5f9-33c5-a80b-157a3a04d012,printer,printer,http://id.loc.gov/vocabulary/relators/prt
8b376014-4a2e-3579-9ef1-74d78a2079b9,publisher,publisher,http://id.loc.gov/vocabulary/relators/pbl
eaa0185a-45d7-3758-ac1c-5500cabb042e,engraver,engraver,http://id.loc.gov/vocabulary/relators/egr
31737ab3-f5bc-30bd-8fd1-c364b3103953,surveyor,surveyor,http://id.loc.gov/vocabulary/relators/srv
f1039e40-9f9e-30b3-8cbc-e65e3fabdf60,(cartouche) engraver,engraver,http://id.loc.gov/vocabulary/relators/egr
69b6042a-b30b-30ba-8ad6-5046aec82f65,(cartouche) artist,artist,http://id.loc.gov/vocabulary/relators/art
825968fa-c190-3b7e-93a4-5d467de1cdd0,dedicatee,dedicatee,http://id.loc.gov/vocabulary/relators/dte
60fc513d-3bad-38e3-b6f7-5fc61df9cf16,binder,binder,http://id.loc.gov/vocabulary/relators/bnd
c46d887b-c8dc-35db-8f47-588e4eb8dfef,bookseller,bookseller,http://id.loc.gov/vocabulary/relators/bsl
823d145a-a01c-3512-8c67-c67f75931883,translator,translator,http://id.loc.gov/vocabulary/relators/trl
b2dc98c0-3671-343b-9bf3-536fa1ad4942,binder.?UNAUTHORIZED,binder,http://id.loc.gov/vocabulary/relators/bnd
e21b6181-cc94-3dc7-b53e-1ad5c09a6f04,supposed author,author,http://id.loc.gov/vocabulary/relators/aut
03ffafc8-3d21-32ef-82c3-abd185215737,recipient,addressee,http://id.loc.gov/vocabulary/relators/rcp
f66487a2-6aa4-3ffc-a21b-ba13febd6695,correspondent,correspondent,http://id.loc.gov/vocabulary/relators/crp
57fdf338-a251-36d5-8f7e-4e4b8bb23249,former owner,former owner,http://id.loc.gov/vocabulary/relators/fmo
774b5667-1336-329e-9eef-e8e7d1f19f5e,attributed name,attributed name,http://id.loc.gov/vocabulary/relators/att
bbd68bda-4ee1-3cd0-b450-9a0bfcf8cc6e,engr,engraver,http://id.loc.gov/vocabulary/relators/egr
063f988e-d4b6-3e90-9beb-246c4380f53a,artist,artist,http://id.loc.gov/vocabulary/relators/art
c2cbf21f-70a9-313b-b456-6574c3b617cf,lyricist,lyricist,http://id.loc.gov/vocabulary/relators/lyr
013bbe83-1685-391e-b3fc-329c1acdf017,lithographer,lithographer,http://id.loc.gov/vocabulary/relators/ltg
711dc8ea-7998-378f-b931-548bb8be42e3,arranger,arranger,http://id.loc.gov/vocabulary/relators/arr
28190771-b5dd-310d-9b26-b7e928f97aa7,librettist,librettist,http://id.loc.gov/vocabulary/relators/lbt
